"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method"
NA;NA;0;0,00139093399047852;"One GP"
0,891846609108242;100;2,34775328636169;0,0823397636413574;"GPFDA"
0,411145426048272;93,3333333333333;9,59628319740295;0,104676723480225;"Algo"
NA;NA;0;0,00137853622436523;"One GP"
0,657551298809272;100;4,71317982673645;0,0816745758056641;"GPFDA"
0,0818426598294913;90;11,8404984474182;0,104587554931641;"Algo"
NA;NA;0;0,00141429901123047;"One GP"
0,103619163993225;100;2,16346526145935;0,0965843200683594;"GPFDA"
0,152184338403102;100;27,9810318946838;0,104594469070435;"Algo"
NA;NA;0;0,00139927864074707;"One GP"
0,926124356554689;100;2,69155716896057;0,0801889896392822;"GPFDA"
1,61965630962638;86,6666666666667;9,31543326377869;0,162994384765625;"Algo"
NA;NA;0;0,00138950347900391;"One GP"
2,82703863862208;100;4,56012034416199;0,0819597244262695;"GPFDA"
2,92589371457143;86,6666666666667;10,3117635250092;0,109534502029419;"Algo"
NA;NA;0;0,00139832496643066;"One GP"
6,08377453136944;100;4,61691665649414;0,0937745571136475;"GPFDA"
0,222681181352513;100;29,0260350704193;0,105012893676758;"Algo"
NA;NA;0;0,00151944160461426;"One GP"
1,71912769341659;100;3,07663917541504;0,0791893005371094;"GPFDA"
0,440214816399366;100;9,63983082771301;0,105310678482056;"Algo"
NA;NA;0;0,00141072273254395;"One GP"
1,12677268358199;100;2,44397044181824;0,0788285732269287;"GPFDA"
0,444214603707024;100;10,4059293270111;0,105295419692993;"Algo"
NA;NA;0;0,00141620635986328;"One GP"
0,778884688957738;100;4,70532321929932;0,0954053401947021;"GPFDA"
0,150012232883527;100;9,81689405441284;0,103479385375977;"Algo"
NA;NA;0;0,00137233734130859;"One GP"
0,158544448768889;100;2,41882181167603;0,079329252243042;"GPFDA"
0,593074846974854;100;10,1591312885284;0,104834318161011;"Algo"
NA;NA;0;0,00139546394348145;"One GP"
1,1228320834582;100;4,66514039039612;0,0832691192626953;"GPFDA"
1,12532437130959;100;10,0851311683655;0,105676174163818;"Algo"
NA;NA;0;0,00139999389648438;"One GP"
3,88045428312873;100;4,85776114463806;0,0790379047393799;"GPFDA"
0,161581658790314;80;11,9532103538513;0,104493856430054;"Algo"
NA;NA;0;0,00141072273254395;"One GP"
0,0728323898254214;100;4,23939561843872;0,0791056156158447;"GPFDA"
0,202484844953179;100;8,55855846405029;0,104823589324951;"Algo"
NA;NA;0;0,00141000747680664;"One GP"
0,352055291698493;100;2,77520489692688;0,0794253349304199;"GPFDA"
0,4390169689231;96,6666666666667;8,11335492134094;0,104530334472656;"Algo"
NA;NA;0;0,00140261650085449;"One GP"
0,456187878401744;100;4,88299202919006;0,0831992626190186;"GPFDA"
0,0847629200704712;96,6666666666667;11,7040483951569;0,211544275283813;"Algo"
NA;NA;0;0,00141119956970215;"One GP"
0,0794291232749437;100;2,12272620201111;0,08036208152771;"GPFDA"
0,0864258173727078;100;10,2425723075867;0,11428689956665;"Algo"
NA;NA;0;0,00140714645385742;"One GP"
0,0550110220641893;100;2,45096778869629;0,0791890621185303;"GPFDA"
0,0792074543284797;100;10,510974407196;0,103970527648926;"Algo"
NA;NA;0;0,00142240524291992;"One GP"
0,124448436169502;100;4,10731387138367;0,0811192989349365;"GPFDA"
0,890405977834954;100;8,63046884536743;0,1045081615448;"Algo"
NA;NA;0;0,0013890266418457;"One GP"
1,71657134998308;100;4,49853301048279;0,0790839195251465;"GPFDA"
0,293837824399465;100;13,6831636428833;0,1047682762146;"Algo"
NA;NA;0;0,0014035701751709;"One GP"
3,79312995681186;100;4,74420595169067;0,0787084102630615;"GPFDA"
1,95211205335866;100;13,4621257781982;0,105492353439331;"Algo"
NA;NA;0;0,00141739845275879;"One GP"
7,96904512270537;100;4,28173470497131;0,0830037593841553;"GPFDA"
0,0728803708878516;100;10,0708289146423;0,105839252471924;"Algo"
NA;NA;0;0,00139451026916504;"One GP"
0,0815164495681885;100;2,81413269042969;0,0803711414337158;"GPFDA"
0,0387588109430763;100;12,004766702652;0,103792905807495;"Algo"
NA;NA;0;0,00139522552490234;"One GP"
0,0364875673983442;100;4,12592768669128;0,0798304080963135;"GPFDA"
0,174492966840356;100;9,01020550727844;0,104818105697632;"Algo"
NA;NA;0;0,00142550468444824;"One GP"
0,232196939379942;100;4,81648731231689;0,0789029598236084;"GPFDA"
0,225060381433597;100;9,6736011505127;0,118813276290894;"Algo"
NA;NA;0;0,0013740062713623;"One GP"
0,129534569923586;100;1,82262659072876;0,081838846206665;"GPFDA"
0,156885759394958;100;9,50691294670105;0,103726863861084;"Algo"
NA;NA;0;0,00139141082763672;"One GP"
0,0995105306134121;100;4,20604062080383;0,0790350437164307;"GPFDA"
0,146084453983563;100;10,8031430244446;0,105466365814209;"Algo"
NA;NA;0;0,00139784812927246;"One GP"
0,0575191224644274;100;3,85370683670044;0,157986879348755;"GPFDA"
0,297692632720739;100;9,71329545974731;0,133973836898804;"Algo"
NA;NA;0;0,00149965286254883;"One GP"
0,299969265297916;100;2,11996912956238;0,0791451930999756;"GPFDA"
0,479289989943969;100;50,0990717411041;0,104603052139282;"Algo"
NA;NA;0;0,00138711929321289;"One GP"
1,84772609632562;100;5,21959447860718;0,0789549350738525;"GPFDA"
0,181413476370891;100;10,6838529109955;0,104255199432373;"Algo"
NA;NA;0;0,00139832496643066;"One GP"
0,189026321175611;100;4,19265484809875;0,0795004367828369;"GPFDA"
5,80814550632532;86,6666666666667;9,32745790481567;0,120000600814819;"Algo"
NA;NA;0;0,00139260292053223;"One GP"
8,50469641991161;100;4,70439767837524;0,0833275318145752;"GPFDA"
0,146046656324307;100;10,6402733325958;0,111493349075317;"Algo"
NA;NA;0;0,00145840644836426;"One GP"
0,429456181597776;100;2,33619570732117;0,0840299129486084;"GPFDA"
0,3417887235621;83,3333333333333;9,32734274864197;0,122342586517334;"Algo"
NA;NA;0;0,00162482261657715;"One GP"
0,258621866177637;100;4,25207901000977;0,09572434425354;"GPFDA"
0,114354521910554;100;10,9777824878693;0,177622556686401;"Algo"
NA;NA;0;0,00169706344604492;"One GP"
0,112472473151121;100;2,48671245574951;0,0965771675109863;"GPFDA"
0,429266051384337;100;8,73242378234863;0,122125625610352;"Algo"
NA;NA;0;0,00161123275756836;"One GP"
1,15198718248708;100;4,62955832481384;0,0939846038818359;"GPFDA"
2,96373699899203;100;8,59885764122009;0,111685991287231;"Algo"
NA;NA;0;0,00152325630187988;"One GP"
7,87771964222949;100;2,26336884498596;0,0849535465240479;"GPFDA"
0,714742725740734;100;9,0933735370636;0,122508525848389;"Algo"
NA;NA;0;0,00139832496643066;"One GP"
0,983232964451052;100;2,82704472541809;0,0787873268127441;"GPFDA"
0,234454790356071;93,3333333333333;9,82940292358398;0,114935636520386;"Algo"
