"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method";"M"
4,03582921863521;100;1,31044483184814;0,0371742248535156;"GPFDA";6
0,920920178388416;100;3,81778717041016;0,0310823917388916;"Algo";6
NA;NA;0;0,00139594078063965;"One GP";6
1,77949800346607;100;1,20716738700867;0,0372519493103027;"GPFDA";6
0,454761399237237;100;3,93821787834167;0,0304720401763916;"Algo";6
NA;NA;0;0,00138759613037109;"One GP";6
0,270614553486057;100;1,14885067939758;0,0371401309967041;"GPFDA";6
5,89159548077557;100;3,52497267723083;0,0308983325958252;"Algo";6
NA;NA;0;0,00141453742980957;"One GP";6
17,5983371246976;100;0,834751605987549;0,0367918014526367;"GPFDA";6
0,624448692407402;100;3,54237771034241;0,0303847789764404;"Algo";6
NA;NA;0;0,00139570236206055;"One GP";6
0,496510006619083;100;1,04901814460754;0,0369141101837158;"GPFDA";6
2,55850260609761;100;3,46092414855957;0,0306637287139893;"Algo";6
NA;NA;0;0,00138711929321289;"One GP";6
1,24623611769561;100;0,563317060470581;0,036674976348877;"GPFDA";6
0,636649564338654;93,3333333333333;13,3772938251495;0,030750036239624;"Algo";6
NA;NA;0;0,00138616561889648;"One GP";6
1,59920808830157;100;1,29262900352478;0,0369949340820312;"GPFDA";6
1,57671750769198;100;3,47938466072083;0,0307826995849609;"Algo";6
NA;NA;0;0,00139784812927246;"One GP";6
2,16151273146961;100;1,3820276260376;0,0370662212371826;"GPFDA";6
15,1994898482981;56,6666666666667;14,453476190567;0,0307354927062988;"Algo";6
NA;NA;0;0,00141596794128418;"One GP";6
15,933846553866;100;0,704738855361938;0,0369119644165039;"GPFDA";6
3,36472991588931;90;3,47637605667114;0,0307261943817139;"Algo";6
NA;NA;0;0,00139403343200684;"One GP";6
4,22709275034264;100;0,65758204460144;0,0367746353149414;"GPFDA";6
0,566685270867203;96,6666666666667;4,16522932052612;0,0304949283599854;"Algo";6
NA;NA;0;0,00139451026916504;"One GP";6
1,1389998655074;100;1,17946696281433;0,0377480983734131;"GPFDA";6
32,6054282571972;96,6666666666667;3,55791521072388;0,0420517921447754;"Algo";6
NA;NA;0;0,00138568878173828;"One GP";6
16,6419508695273;100;1,21470928192139;0,0369131565093994;"GPFDA";6
