"";"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method";"M"
"798";3,67135114453477;100;3,89600396156311;0,0759270191192627;"GPFDA";16
"799";1,61577058282962;100;19,3340830802917;0,101123094558716;"Algo";16
"800";NA;NA;0;0,00162816047668457;"One GP";16
"801";1,62593497829621;100;3,72669100761414;0,0763721466064453;"GPFDA";16
"802";2,25956431544679;96,6666666666667;19,2501378059387;0,188034057617188;"Algo";16
"803";NA;NA;0;0,00160479545593262;"One GP";16
"804";4,0000035856522;100;2,2209620475769;0,108317852020264;"GPFDA";16
"805";2,03684493730938;100;18,1012048721313;0,0935821533203125;"Algo";16
"806";NA;NA;0;0,00159978866577148;"One GP";16
"807";2,72729920550517;100;2,62532758712769;0,0773341655731201;"GPFDA";16
"808";0,958678814942106;100;18,1110463142395;0,134084463119507;"Algo";16
"809";NA;NA;0;0,00164914131164551;"One GP";16
"810";4,62431942876711;100;2,35545516014099;0,0784499645233154;"GPFDA";16
"811";0,456124184511143;100;21,6883411407471;0,220720529556274;"Algo";16
"812";NA;NA;0;0,00164413452148438;"One GP";16
"813";0,473339131751495;100;2,93953132629395;0,0786733627319336;"GPFDA";16
"814";1,86036013399277;93,3333333333333;13,3579759597778;0,0925796031951904;"Algo";16
"815";NA;NA;0;0,00164008140563965;"One GP";16
"816";3,16544140345313;100;4,43751430511475;0,078481912612915;"GPFDA";16
"817";3,73624671823066;100;29,7035109996796;0,0959324836730957;"Algo";16
"818";NA;NA;0;0,00163459777832031;"One GP";16
"819";4,34859812839769;100;3,32419490814209;0,0856399536132812;"GPFDA";16
"820";0,33046380146587;100;19,5060079097748;0,116934061050415;"Algo";16
"821";NA;NA;0;0,00172877311706543;"One GP";16
"822";0,455257052568359;100;3,89637923240662;0,0794060230255127;"GPFDA";16
"823";1,40440589981507;100;30,8623046875;0,105941772460938;"Algo";16
"824";NA;NA;0;0,00160431861877441;"One GP";16
"825";2,48279790756089;100;3,86392569541931;0,0885038375854492;"GPFDA";16
"826";2,19436034722084;90;22,6716041564941;0,0973856449127197;"Algo";16
"827";NA;NA;0;0,00163412094116211;"One GP";16
"828";1,05222590733189;100;3,28425574302673;0,0889561176300049;"GPFDA";16
"829";1,63980708036624;100;21,7939133644104;0,136811256408691;"Algo";16
"830";NA;NA;0;0,00165581703186035;"One GP";16
"831";1,50224531695962;100;4,60584187507629;0,0991954803466797;"GPFDA";16
"832";0,421809039588317;100;18,4604218006134;0,171194314956665;"Algo";16
"833";NA;NA;0;0,00164794921875;"One GP";16
"834";0,687626105521531;100;4,26777601242065;0,0786588191986084;"GPFDA";16
"835";2,82856282423526;100;15,4307241439819;0,12757420539856;"Algo";16
"836";NA;NA;0;0,00166440010070801;"One GP";16
"837";1,08411648793506;100;3,65374898910522;0,220340013504028;"GPFDA";16
"838";0,607927019534182;100;23,8279011249542;0,096909761428833;"Algo";16
"839";NA;NA;0;0,00165963172912598;"One GP";16
"840";0,372864780647692;100;2,41003322601318;0,0790309906005859;"GPFDA";16
"841";0,272684686527203;100;24,1303200721741;0,160225391387939;"Algo";16
"842";NA;NA;0;0,00162982940673828;"One GP";16
"843";4,05188242905036;100;3,38560485839844;0,0817112922668457;"GPFDA";16
"844";1,4156659798951;100;26,6725726127625;0,100028038024902;"Algo";16
"845";NA;NA;0;0,00203824043273926;"One GP";16
"846";2,92187720447282;100;4,1537914276123;0,0793235301971436;"GPFDA";16
"847";2,06417117977023;100;14,9540467262268;0,0932424068450928;"Algo";16
"848";NA;NA;0;0,00167489051818848;"One GP";16
"849";2,13955096218238;100;1,78704905509949;0,0773417949676514;"GPFDA";16
"850";0,875315846534346;100;21,9815244674683;0,119329452514648;"Algo";16
"851";NA;NA;0;0,00167202949523926;"One GP";16
"852";3,06208735340155;100;4,44063520431519;0,0768065452575684;"GPFDA";16
"853";1,66265574084358;100;19,4926290512085;0,104739427566528;"Algo";16
"854";NA;NA;0;0,00164484977722168;"One GP";16
"855";2,14037980048376;100;4,58911824226379;0,113165140151978;"GPFDA";16
"856";2,43741768514541;100;23,2382445335388;0,15640664100647;"Algo";16
